Company_ID,Date,Sponsor,Govt,Institute,Foreign,Public
ORIONPHARM,30/06/2022,31.98,0.00,28.65,1.16,38.21
PADMALIFE,31/12/2021,34.79,0.00,20.63,0.00,44.58
PADMAOIL,30/06/2022,2.06,50.35,32.82,0.86,13.91
PAPERPROC,30/06/2022,42.03,0.00,0.54,0.00,57.43
PARAMOUNT,31/12/2021,48.48,0.00,8.52,0.03,42.97
PBLPBOND,31/12/2020,0.00,0.00,0.00,0.00,0.00
PDL,30/06/2022,30.12,0.00,12.64,0.00,57.24
PENINSULA,30/06/2022,49.83,0.00,14.66,0.16,35.35
PEOPLESINS,31/12/2021,30.41,0.00,20.41,0.00,49.18
PF1STMF,30/06/2022,33.33,0.00,13.35,0.01,53.31
PHARMAID,30/06/2022,24.22,0.00,14.95,0.00,60.83
PHENIXINS,31/12/2022,36.02,0.00,7.76,0.00,56.22
PHOENIXFIN,31/12/2021,32.60,0.00,27.00,0.00,40.40
PHPMF1,30/06/2022,10.26,0.00,42.40,0.00,47.34
PIONEERINS,31/12/2022,45.62,0.00,24.70,0.00,29.68
PLFSL,31/12/2017,29.88,0.00,10.66,1.02,58.44
POPULAR1MF,30/06/2022,10.00,0.00,27.30,0.00,62.70
POPULARLIF,31/12/2021,30.01,0.00,10.53,0.00,59.46
POWERGRID,30/06/2022,75.00,0.00,15.77,0.19,9.04
PRAGATIINS,31/12/2021,42.07,0.00,20.94,0.00,36.99
PRAGATILIF,31/12/2021,38.37,0.00,30.70,0.00,30.93
PREBPBOND,31/12/2021,0.00,0.00,0.00,0.00,0.00
PREMIERBAN,31/12/2021,34.97,0.00,17.88,1.95,45.20
PREMIERCEM,30/06/2022,47.15,0.00,20.84,0.03,31.98
PREMIERLEA,31/12/2021,30.00,0.00,24.62,0.00,45.38
PRIME1ICBA,30/06/2022,20.00,0.00,58.85,1.95,19.20
PRIMEBANK,31/12/2022,39.21,0.00,38.09,0.50,22.20
PRIMEFIN,31/12/2020,59.14,0.00,12.28,0.01,28.57
PRIMEINSUR,31/12/2021,30.45,0.00,19.24,0.00,50.31
PRIMELIFE,31/12/2021,36.08,0.00,39.70,0.09,24.13
PRIMETEX,30/06/2022,50.00,0.00,13.98,0.25,35.77
PROGRESLIF,31/12/2019,39.49,0.00,18.51,0.00,42.00
PROVATIINS,31/12/2021,30.03,0.00,23.48,0.00,46.49
PTL,30/06/2022,60.95,0.00,9.26,4.10,25.69
PUBALIBANK,31/12/2021,31.50,0.00,26.79,0.22,41.49
PURABIGEN,31/12/2021,31.57,0.00,9.54,0.00,58.89
QUASEMIND,30/06/2022,30.00,0.00,16.96,0.00,53.04
QUEENSOUTH,30/06/2022,53.23,0.00,14.53,1.57,30.67
RAHIMAFOOD,30/06/2022,37.38,0.00,13.19,4.99,44.44
RAHIMTEXT,30/06/2022,70.94,0.00,5.98,0.00,23.08
RAKCERAMIC,31/12/2022,72.08,0.00,16.28,0.00,11.64
RANFOUNDRY,30/06/2022,49.89,0.00,16.62,0.00,33.49
RDFOOD,30/06/2022,36.19,0.00,19.66,0.00,44.15
RECKITTBEN,31/12/2022,82.96,3.77,4.49,2.82,5.96
REGENTTEX,30/06/2021,54.55,0.00,6.00,0.00,39.45
RELIANCE1,30/06/2022,20.00,0.00,35.47,0.00,44.53
RELIANCINS,31/12/2022,64.24,0.00,1.71,0.00,34.05
RENATA,30/06/2022,51.29,0.00,19.39,22.91,6.41
RENWICKJA,30/06/2022,0.00,51.00,21.43,0.00,27.57
REPUBLIC,31/12/2021,31.67,0.00,17.74,0.00,50.59
RINGSHINE,30/06/2019,0.00,0.00,0.00,0.00,0.00
RNSPIN,30/06/2022,30.00,0.00,11.03,0.04,58.93
ROBI,31/12/2022,90.00,0.00,1.66,0.00,8.34
RSRMSTEEL,30/06/2021,47.03,0.00,18.52,0.00,34.45
RUNNERAUTO,30/06/2022,41.23,0.00,35.56,0.00,23.21
RUPALIBANK,31/12/2021,0.00,90.19,4.38,0.00,5.43
RUPALIINS,31/12/2021,46.25,0.00,10.78,0.00,42.97
RUPALILIFE,31/12/2021,32.07,0.00,9.63,0.00,58.30
SAFKOSPINN,30/06/2022,30.00,0.00,13.71,0.00,56.29
SAIFPOWER,30/06/2022,40.06,0.00,17.90,0.00,42.04
SAIHAMCOT,30/06/2022,42.40,0.00,14.09,0.00,43.51
SAIHAMTEX,30/06/2022,33.70,0.00,21.04,0.00,45.26
SALAMCRST,30/06/2022,53.07,0.00,30.25,0.00,16.68
SALVOCHEM,30/06/2022,25.18,0.00,13.06,0.00,61.76
SAMATALETH,30/06/2022,33.88,0.00,4.24,0.00,61.88
SAMORITA,30/06/2022,45.64,0.00,6.30,0.01,48.05
SANDHANINS,31/12/2021,31.45,0.00,10.33,0.00,58.22
SAPORTL,30/06/2022,59.00,0.00,13.82,3.85,23.33
SAVAREFR,30/06/2022,50.68,0.00,7.18,0.00,42.14
SBACBANK,31/12/2021,73.48,0.00,11.64,0.00,14.88
SEAPEARL,30/06/2022,46.83,0.00,26.64,0.00,26.53
SEMLFBSLGF,30/06/2022,14.39,0.00,22.18,0.00,63.43
SEMLIBBLSF,30/06/2022,50.00,0.00,25.41,0.00,24.59
SEMLLECMF,30/06/2022,10.00,0.00,11.36,0.00,78.64
SHAHJABANK,31/12/2022,48.22,0.00,14.76,0.15,36.87
SHASHADNIM,30/06/2022,37.56,0.00,21.13,0.17,41.14
SHEPHERD,30/06/2022,51.48,0.00,23.29,9.44,15.79
SHURWID,30/06/2019,9.99,0.00,22.80,0.00,67.21
SHYAMPSUG,30/06/2022,0.00,51.00,2.43,0.00,46.57
SIBL,31/12/2021,32.06,0.00,47.58,1.32,19.04
SILCOPHL,30/06/2022,39.12,0.00,8.99,0.00,51.89
SILVAPHL,30/06/2022,51.44,0.00,13.69,0.01,34.86
SIMTEX,30/06/2022,30.00,0.00,19.16,0.00,50.84
SINGERBD,31/12/2022,57.00,0.00,24.86,4.52,13.62
SINOBANGLA,30/06/2022,30.61,0.00,4.72,0.00,64.67
SJIBLPBOND,31/12/2020,0.00,0.00,0.00,0.00,0.00
SKICL,31/12/2022,60.00,0.00,6.78,0.00,33.22
SKTRIMS,30/06/2022,31.23,0.00,23.49,0.00,45.28
SONALIANSH,30/06/2022,50.78,0.00,5.63,0.00,43.59
SONALILIFE,31/12/2021,54.58,0.00,5.77,0.00,39.65
SONALIPAPR,30/06/2022,67.51,0.00,10.30,0.00,22.19
SONARBAINS,31/12/2021,36.78,0.00,6.82,0.00,56.40
SONARGAON,30/06/2022,44.55,0.00,1.80,0.00,53.65
SOUTHEASTB,31/12/2021,30.42,0.00,38.78,1.27,29.53
SPCERAMICS,30/06/2022,50.00,0.00,5.04,0.00,44.96
SPCL,30/06/2022,60.29,0.00,17.31,0.00,22.40
SQUARETEXT,30/06/2022,61.83,0.00,22.69,3.09,12.39
SQURPHARMA,30/06/2022,34.67,0.00,14.85,13.91,36.57
SSSTEEL,30/06/2022,31.79,0.00,11.14,0.00,57.07
More...,31/01/1970,0.00,0.00,0.00,0.00,0.00
STANCERAM,30/06/2022,30.50,0.00,3.97,0.00,65.53
STANDARINS,31/12/2021,65.32,0.00,13.52,0.00,21.16
STANDBANKL,31/12/2021,38.92,0.00,25.30,0.41,35.37
STYLECRAFT,30/06/2022,38.81,0.00,4.64,0.00,56.55
SUMITPOWER,30/06/2022,63.21,0.00,18.77,3.65,14.37
SUNLIFEINS,31/12/2021,40.80,0.00,25.06,0.00,34.14
TAKAFULINS,31/12/2021,52.34,0.00,16.24,0.08,31.34
TALLUSPIN,30/06/2022,30.00,0.00,20.30,0.16,49.54
TAMIJTEX,30/06/2022,61.23,0.00,0.30,0.00,38.47
More...,31/01/1970,0.00,0.00,0.00,0.00,0.00
TILIL,31/12/2021,0.00,0.00,0.00,0.00,0.00
TITASGAS,30/06/2022,0.00,75.00,15.40,0.47,9.13
TOSRIFA,30/06/2022,47.12,0.00,25.41,0.00,27.47
TRUSTB1MF,30/06/2022,1.51,0.00,32.12,0.00,66.37
TRUSTBANK,31/12/2021,60.00,0.00,16.09,0.16,23.75
TUNGHAI,30/06/2022,30.04,0.00,7.46,0.00,62.50
UCB,31/12/2021,34.64,0.81,20.61,0.82,43.12
UNILEVERCL,31/12/2022,86.96,0.00,8.82,0.29,3.93
UNIONBANK,31/12/2021,56.50,0.00,7.65,0.02,35.83
UNIONCAP,31/12/2021,35.20,0.00,16.47,0.00,48.33
UNIONINS,31/12/2021,46.54,0.00,8.50,0.00,44.96
UNIQUEHRL,30/06/2022,46.03,0.00,26.28,0.54,27.15
UNITEDFIN,31/12/2022,51.83,0.00,18.98,0.00,29.19
UNITEDINS,31/12/2022,48.61,0.00,30.50,0.00,20.89
UPGDCL,30/06/2022,90.00,0.00,7.37,0.03,2.60
